country,importOrExport,year,weapons_Type,units,value,smallArmsOnly
Germany (Federal Republic),Export,1975,Parts of Non-Military Firearms (89433),,186464,Yes
Germany (Federal Republic),Export,1975,Parts of Non-Military Firearms (89433),,4769,Yes
Greece,Export,1975,Parts of Non-Military Firearms (89433),,5564,Yes
Guadeloupe,Export,1975,Parts of Non-Military Firearms (89433),,1040,Yes
Guatemala,Export,1975,Parts of Non-Military Firearms (89433),,2384,Yes
Haiti,Export,1975,Parts of Non-Military Firearms (89433),,505,Yes
Haiti,Export,1975,Parts of Non-Military Firearms (89433),,505,Yes
Honduras,Export,1975,Parts of Non-Military Firearms (89433),,1795,Yes
Hong Kong,Export,1975,Parts of Non-Military Firearms (89433),,2417,Yes
Iceland,Export,1975,Parts of Non-Military Firearms (89433),,12069,Yes
Iran,Export,1975,Parts of Non-Military Firearms (89433),,39789,Yes
Israel,Export,1975,Parts of Non-Military Firearms (89433),,8389,Yes
Israel,Export,1975,Parts of Non-Military Firearms (89433),,3500,Yes
Italy,Export,1975,Parts of Non-Military Firearms (89433),,72076,Yes
Italy,Export,1975,Parts of Non-Military Firearms (89433),,5500,Yes
Jamaica,Export,1975,Parts of Non-Military Firearms (89433),,1050,Yes
Jamaica,Export,1975,Parts of Non-Military Firearms (89433),,1050,Yes
Japan,Export,1975,Parts of Non-Military Firearms (89433),,842407,Yes
Japan,Export,1975,Parts of Non-Military Firearms (89433),,10126,Yes
Lebanon,Export,1975,Parts of Non-Military Firearms (89433),,4802,Yes
Malaysia,Export,1975,Parts of Non-Military Firearms (89433),,1187,Yes
Mexico,Export,1975,Parts of Non-Military Firearms (89433),,11295,Yes
Netherlands,Export,1975,Parts of Non-Military Firearms (89433),,2992,Yes
New Zealand,Export,1975,Parts of Non-Military Firearms (89433),,1165,Yes
Nicaragua,Export,1975,Parts of Non-Military Firearms (89433),,5804,Yes
Norway,Export,1975,Parts of Non-Military Firearms (89433),,14339,Yes
Norway,Export,1975,Parts of Non-Military Firearms (89433),,3945,Yes
Panama,Export,1975,Parts of Non-Military Firearms (89433),,3385,Yes
